Key,Comment,Japanese,Japanese,English
Erena Fallen Scene,注釈,闇堕ちシーン,闇堕ちシーン,闇堕ちシーン
Erena.Fallen1-1,Erena darkness1ｰ1,――――財団地下研究施設,――――財団地下研究施設,―――― Foundation Underground Research Facility
,,,,
Erena.Fallen1-2,,グジュッ♥、ジュルッ♥、グチュッ、グチュッ、ズプッ、ジュルルルッ！♥,グジュッ♥、ジュルッ♥、グチュッ、グチュッ、ズプッ、ジュルルルッ！♥,"Gudu♥, julu♥, gudu, gudu, gudu, zup, julu! ♥♥"
,,,,
Erena.Fallen1-3,エレナ,「ん゛んっ！♥、う゛ん゛ん゛ん゛っ！ん゛ん～～～っっ♥♥！！」,「ん゛んっ！♥、う゛ん゛ん゛ん゛っ！ん゛ん～～～っっ♥♥！！」,"""D―D―D―D―D―D―D―D―D―D―D―D―D―D―D―D―D―D... ♥♥♥♥♥♥♥♥♥! ♥♥♥♥♥!"""
,,,,
Erena.Fallen1-4,,清藤エレナは触手怪人によって地下深くの研究室に拘束されていた,清藤エレナは触手怪人によって地下深くの研究室に拘束されていた,Erena Seidō was held in a laboratory deep underground by a tentacle monster
,,,,
Erena.Fallen1-5,,グッチュッ、グチュッ、グチュッ♥,グッチュッ、グチュッ、グチュッ♥,"Gut, gut, gut."
,,,,
Erena.Fallen1-6,触手怪人,「触手を動かすごとにキュウキュウと締め付けおって。エレナ君はかわいいなあ？」,「触手を動かすごとにキュウキュウと締め付けおって。エレナ君はかわいいなあ？」,"She was tightening her grip on me with each movement of her tentacles. Aren't you cute, Erena?"
,Erena darkness 1ｰ2,,,
Erena.Fallen1-7,エレナ,「ん゛ん゛ん゛っ！！う゛ん～～～！！」,「ん゛ん゛ん゛っ！！う゛ん～～～！！」," D―Un~!!!!"""
,,,,
Erena.Fallen1-8,触手怪人,「ぐぐふっ、どうだ？私は16本の生殖用触手を持っているからな。君も飽きないだろう？」,「ぐぐふっ、どうだ？私は16本の生殖用触手を持っているからな。君も飽きないだろう？」,"'Gghh, how's that? I've got sixteen reproductive tentacles. You won't get tired of them either, will you?"""
,,,,
Erena.Fallen1-9,エレナ,「ん゛ん゛ん゛っ♥！ん゛っ～～！！」,「ん゛ん゛ん゛っ♥！ん゛っ～～！！」," ♥♥♥!"""
,,,,
Erena.Fallen1-10,触手怪人,「ああ、口にも突っ込んでいたから喋れなかったのか。これは失礼した」,「ああ、口にも突っ込んでいたから喋れなかったのか。これは失礼した」,"'Oh, you couldn't speak because you were sticking it in your mouth too. I beg your pardon for this."""
,,,,
Erena.Fallen1-11,,そしてエレナの口からズルリと触手が抜かれる,そしてエレナの口からズルリと触手が抜かれる,And then the tentacle is pulled out of Erena's mouth with a slurp.
,Erena darkness 1-3,,,
Erena.Fallen1-12,エレナ,「ぷはっ！、はあっ、はあっ、はあっ！！」,「ぷはっ！、はあっ、はあっ、はあっ！！」,"Puh―huh."" Ha, ha, ha!"""
,,,,
Erena.Fallen1-13,Erena darkness 1-4,「ぐうっ♥、このっ！聖核戦姫に変身さえできればあなたなんてっ！」,「ぐうっ♥、このっ！聖核戦姫に変身さえできればあなたなんてっ！」,I'm not going to let you do this to me! If only I could transform into the Seikaku Princess!
,,,,
Erena.Fallen1-14,触手怪人,「おやおや？まだ反抗的だなあ？こんなに濡らしてるのに気持ちよく無かったのか？」,「おやおや？まだ反抗的だなあ？こんなに濡らしてるのに気持ちよく無かったのか？」,"Oh, well? You're still defiant, aren't you? Didn't it feel good to get you this wet?"""
,,,,
Erena.Fallen1-15,エレナ,「っ、……そんなわけがないでしょうっ！？」,「っ、……そんなわけがないでしょうっ！？」,"I'll tell you what, ......, that can't be true!"""
,,,,
Erena.Fallen1-16,,(――――私は清藤エレナっ！聖月生徒会副会長で聖核戦姫！こんな所で終わるわけがないっ！),(――――私は清藤エレナっ！ホーリーコア・レギオン副会長で聖核戦姫！こんな所で終わるわけがないっ！),(―――― I am Seidō Erena! Vice President of the Seigetsu Student Council and the Seikaku Princess! There's no way I'm going to end up here!)
,,,,
Erena.Fallen1-17,,「いつまでもこの私を拘束できると思わないでくださいっ！すぐに脱出してあなたを細切れにします！」,「いつまでもこの私を拘束できると思わないでくださいっ！すぐに脱出してあなたを細切れにします！」,"Don't think you can hold me here forever! I will escape immediately and shred you!"""
,,,,
Erena.Fallen1-18,触手怪人,「ぐふふっ、この期に及んでまだ脱出できると思っているのか」,「ぐふふっ、この期に及んでまだ脱出できると思っているのか」,"""Gghh, you still think you can escape at this stage of your life?"""
,,,,
Erena.Fallen1-19,,「まったく…だがそんな勇ましいだけで浅慮なところもエレナ君らしい」,「まったく…だがそんな勇ましいだけで浅慮なところもエレナ君らしい」,"But it's also very typical of Erena to be so brave and shallow."""
,,,,
Erena.Fallen1-20,エレナ,「――――っ、私が浅慮だとっ？！」,「――――っ、私が浅慮だとっ？！」,"""――――, you think I'm shallow?"
,,,,
Erena.Fallen1-21,触手怪人,「だが、いくらかわいいエレナ君でも立場を理解してもらわんとなぁ？」,「だが、いくらかわいいエレナ君でも立場を理解してもらわんとなぁ？」,"But even sweet Erena, you have to understand your place, don't you?"""
,,,,
Erena.Fallen1-22,,「エレナ君、君はこれから私の愛玩ペットになるのだ」,「エレナ君、君はこれから私の愛玩ペットになるのだ」,"Erena, you are now going to be my lapdog."
,,,,
Erena.Fallen1-23,エレナ,「っ、何を言っているのですか？！誰があなたなんかにっ！」,「っ、何を言っているのですか？！誰があなたなんかにっ！」,What are you talking about? Who are you?
,,,,
Erena.Fallen1-24,触手怪人,「グフフッ、それでこそエレナ君だ！気が強くてしつけがいがある！」,「グフフッ、それでこそエレナ君だ！気が強くてしつけがいがある！」,"I'm sure that's what you are, Erena! Strong―willed and disciplined!"""
,,,,
Erena.Fallen1-25,Erena darkness 1-5,触手怪人の口から触手が伸び、エレナの上半身を覆いつくすように飲み込む,触手怪人の口から触手が伸び、エレナの上半身を覆いつくすように飲み込む,Tentacles extend from the tentacle monster's mouth and swallow Erena's upper body as if covering it.
,,,,
Erena.Fallen1-26,エレナ,「――――なっ！、モゴッ！！」,「――――なっ！、モゴッ！！」,"""――――! Mogog!!!!"""
,,,,
Erena.Fallen1-27,,(視界がっ！？何が起きてっ？！),(視界がっ！？何が起きてっ？！),(What's happening? What's happening?)
,,,,
